


         _+=+_
      .-`  .  `-.          8888888b.  8888888b.   .d88888b.   .d8888b.
   _+`     "     `+_       888   Y88b 888   Y88b d88P" "Y88b d88P  Y88b
  \\\sssssssssssss///      888    888 888    888 888     888 Y88b.
     .ss\  *  /ss.         888   d88P 888   d88P 888     888  "Y888b.
 .+bm  .s  *  s.  md+.     8888888P"  8888888P"  888     888     "Y88b.
.hMMMMs .  *  . sMMMMh.    888        888 T88b   888     888       "888
 `\hMMMb \ | / dMMMh:      888        888  T88b  Y88b. .d88P Y88b  d88P
   -SNMNo  -  oNMNs-       888        888   T88b  "Y88888P"   "Y8888P"
     `+dMh\./dMd/
        `:yNy:`                      Powered by PROS for VEX V5
           "                Copyright (c) Purdue University ACM SIGBots
Version:        3.6.0     Platform:  V1.1.1 (b25)     Uptime:    0.000 s
Compiled:   May 26 2022 12:09:46     Directory:  ome/aj/vexcode/aj-code


time (ms), velocity (RPM), voltage (mV), current(mA), power (W), temperature (deg C), torque (Nm)
0.000000, 0.000000, 0, 0, 0.000000, 0.000000, 0.000000
42949672960000000.000000, 0.000000, 1429, 53, 0.000000, 40.000000, 0.015356
85899345920000000.000000, 20.000000, 3548, 233, 0.173270, 40.000000, 0.082746
128849018880000000.000000, 52.600000, 5914, 517, 1.071261, 40.000000, 0.194519
171798691840000000.000000, 43.600000, 7638, 977, 1.768043, 40.000000, 0.387311
214748364800000000.000000, 30.533333, 8063, 1618, 2.132235, 40.000000, 0.666982
257698037760000000.000000, 30.533333, 6702, 2228, 3.014516, 40.000000, 0.942968
300647710720000000.000000, 5.066667, 5513, 2511, 0.569796, 40.000000, 1.074114
343597383680000000.000000, 5.066667, 5753, 2709, 0.615302, 40.000000, 1.159897
386547056640000000.000000, 5.066667, 5981, 2779, 0.630967, 40.000000, 1.189426
429496729600000000.000000, 2.733333, 5950, 2648, 0.323944, 40.000000, 1.131959
472446402560000000.000000, 2.733333, 5809, 2441, 0.298104, 40.000000, 1.041665
515396075520000000.000000, 2.733333, 5833, 2473, 0.302095, 40.000000, 1.055611
558345748480000000.000000, 5.933333, 6437, 2492, 0.658869, 40.000000, 1.060604
601295421440000000.000000, 23.133333, 6942, 2469, 2.537519, 40.000000, 1.047670
644245094400000000.000000, 21.533333, 6511, 2512, 2.410085, 40.000000, 1.068992
687194767360000000.000000, 21.533333, 5858, 2522, 2.428210, 40.000000, 1.077031
730144440320000000.000000, 21.533333, 5636, 2532, 2.440920, 40.000000, 1.082669
773094113280000000.000000, 25.400000, 6271, 2496, 2.827691, 40.000000, 1.063290
816043786240000000.000000, 28.066667, 6991, 2478, 3.089496, 40.000000, 1.051357
858993459200000000.000000, 20.333333, 7084, 2482, 2.240877, 40.000000, 1.052599
901943132160000000.000000, 20.333333, 6382, 2503, 2.268877, 40.000000, 1.065751
944892805120000000.000000, 20.333333, 5883, 2508, 2.279482, 40.000000, 1.070732
987842478080000000.000000, 8.000000, 6419, 2497, 0.890289, 40.000000, 1.062905
1030792151040000000.000000, 33.400000, 7312, 2492, 3.691859, 40.000000, 1.055728
1073741824000000000.000000, 24.200000, 7275, 2544, 2.733434, 40.000000, 1.078814
1116691496960000000.000000, 24.200000, 6523, 2498, 2.692771, 40.000000, 1.062765
1159641169920000000.000000, 24.200000, 5932, 2523, 2.728987, 40.000000, 1.077059
1202590842880000000.000000, 8.466667, 6425, 2506, 0.945703, 40.000000, 1.066831
1245540515840000000.000000, 39.200000, 7515, 2514, 4.368046, 40.000000, 1.064276
1288490188800000000.000000, 29.200000, 7786, 2491, 3.218192, 40.000000, 1.052646
1331439861760000000.000000, 22.133333, 6973, 2508, 2.467194, 40.000000, 1.064657
1374389534720000000.000000, 15.200000, 6314, 2487, 1.685478, 40.000000, 1.059090
1417339207680000000.000000, 15.866667, 6844, 2496, 1.761074, 40.000000, 1.060096
1460288880640000000.000000, 35.600000, 7472, 2543, 4.015353, 40.000000, 1.077276
1503238553600000000.000000, 26.600000, 7293, 2545, 3.005465, 40.000000, 1.079154
1546188226560000000.000000, 17.200000, 6862, 2506, 1.916807, 40.000000, 1.064396
1589137899520000000.000000, 15.466667, 6782, 2505, 1.723649, 40.000000, 1.064402
1632087572480000000.000000, 28.066667, 7201, 2523, 3.144241, 40.000000, 1.069986
1675037245440000000.000000, 30.666667, 7546, 2520, 3.425100, 40.000000, 1.066744
